epochs,loss,accuracy,model,fit_time,total_params
3,1.4282066545739078,0.119205296,keras_vgg19_model 128,48.39038602352142,20026436
4,1.497552111133045,0.15496689,keras_vgg19_model 128,64.52051469802856,20026436
5,1.5699553833892015,0.4317881,keras_vgg19_model 128,80.65064337253571,20026436
6,1.5386876903622355,0.4476821,keras_vgg19_model 128,96.78077204704284,20026436
7,1.2290531619495113,0.49801326,keras_vgg19_model 128,112.91090072155,20026436
8,1.2362551283362686,0.5059603,keras_vgg19_model 128,129.04102939605713,20026436
9,1.170451628767102,0.5218543,keras_vgg19_model 128,145.17115807056427,20026436
10,1.1473675770475376,0.54569536,keras_vgg19_model 128,161.30128674507142,20026436
11,1.2373328491551987,0.46225166,keras_vgg19_model 128,177.43141541957854,20026436
12,0.9812213652970775,0.60264903,keras_vgg19_model 128,193.5615440940857,20026436
13,1.1055272759980714,0.592053,keras_vgg19_model 128,209.69167276859284,20026436
14,1.4624564893987795,0.37218544,keras_vgg19_model 128,225.8218014431,20026436
15,1.189813147633281,0.5231788,keras_vgg19_model 128,241.9519301176071,20026436
16,0.911246334322241,0.6278146,keras_vgg19_model 128,258.08205879211425,20026436
17,1.7122146822758857,0.24503312,keras_vgg19_model 128,274.2121874666214,20026436
18,1.161106787927893,0.5602649,keras_vgg19_model 128,290.34231614112855,20026436
19,1.0379015306763302,0.62913907,keras_vgg19_model 128,306.4724448156357,20026436
20,0.9277998662152828,0.6450331,keras_vgg19_model 128,322.60257349014285,20026436
21,1.6559419066700714,0.30463576,keras_vgg19_model 128,338.73270216464994,20026436
22,0.9813430419820823,0.62119204,keras_vgg19_model 128,354.8628308391571,20026436
23,1.0246836857290458,0.613245,keras_vgg19_model 128,370.99295951366423,20026436
24,0.9834952919688446,0.6225166,keras_vgg19_model 128,387.1230881881714,20026436
25,0.8893006143980469,0.6344371,keras_vgg19_model 128,403.2532168626785,20026436
26,1.1196791898335843,0.6039735,keras_vgg19_model 128,419.3833455371857,20026436
27,0.8408631836341707,0.6834437,keras_vgg19_model 128,435.5134742116928,20026436
28,1.146965849162727,0.607947,keras_vgg19_model 128,451.6436028862,20026436
29,0.8823373969027538,0.6874172,keras_vgg19_model 128,467.7737315607071,20026436
30,0.9680016576849072,0.66490066,keras_vgg19_model 128,483.9038602352142,20026436
